Instruction,Input,Output,materi,question_id,Template
Construct a function in Python to calculate the area of a triangle with three sides,"side1: 3
side2: 4
side3: 5","def triangleArea(side1, side2, side3):
  s = (side1 + side2 + side3) / 2
  area = (s * (s - side1) * (s - side2) * (s - side3)) ** 0.5
  return area",Function,144,"def triangleArea___:
  s = (side1 + side2 + side3) / 2
  area = (s * (s - side1) * (s - side2) * (s - side3)) ** 0.5
  return area"
Develop a Python function to determine the greatest common divisor of two integers.,"a = 28 
b = 15","def gcd(a, b): 
 if(b == 0): 
  return a 
 return gcd(b, a%b) 

def main():
 a = 28 
 b = 15 
 print(gcd(a,b)) 

if __name__ == ""__main__"": 
 main() 

# Output
3",Function,146,"def gcd___: 
 ___: 
  return a 
 return ___ 

___
 a = 28 
 b = 15 
 print(gcd(a,b)) 

if __name__ == ""__main__"": 
 ___ 

# Output
3"
Write a function in Python that takes two arrays of the same size and performs elementwise addition.,"arr1 = [1, 2, 3]
arr2 = [3, 4, 5]","def add_arrays(arr1, arr2):
 if len(arr1) != len(arr2):
  raise Exception(""Arrays are not of the same size!"")
 return [x + y for x, y in zip(arr1, arr2)]

add_arrays(arr1, arr2)  # [4, 6, 8]",Function,163,"def add_arrays___:
 if len___ != len___:
  raise ___
 return [x + y for x, y in zip___]

add_arrays___  # [4, 6, 8]"
Create a function in Python to find the total cost of a purchase given the price of each item and the quantity.,"price = 10.00
quantity = 3","def get_total_cost(price, quantity):
  return price * quantity

total_cost = get_total_cost(price, quantity)
print(total_cost) #prints 30.00",Function,225,"def get_total_cost___:
  return price * quantity

total_cost = get_total_cost___
print(total_cost) #prints 30.00"
Generate a Python program that will compare two strings and return 'True' or 'False'.,"('Apple', 'Orange')","def compare_strings(first, second):
    return first == second

result = compare_strings('Apple', 'Orange')
print (result)",Function,253,"def compare_strings___:
    return first == second

result = ___
print (result)"
Create a function in Python that will return the most frequent value in a dataset.,"[0, 1, 6, 4, 4, 5, 0, 2, 8, 5, 6, 8, 0, 8]","def most_frequent(data):
    counts = dict()
    for i in data:
        if i in counts:
            counts[i] += 1
        else:
            counts[i] = 1
    max_value = max(counts.values())
    return [k for k, v in counts.items() if v == max_value]",Function,265,"def most_frequent___:
    counts = ___
    for i in data:
        if i in counts:
            counts[i] += 1
        else:
            counts[i] = 1
    max_value = ___
    return [k for k, v in counts.___ if v == max_value]"
Convert the following Python function to Java.,"def add_two_numbers(a, b):
    return a + b","public static int addTwoNumbers(int a, int b) {
    return a + b;
}",Function,277,"public static int ___ {
    return a + b;
}"
"Given a sentence, write a python program to return all the possible permutations of the words in the sentence.","sentence = ""the cat sat on the mat""","import itertools

def get_permutations(sentence):
    sentence_list = sentence.split("" "")
    return list(itertools.permutations(sentence_list))

if __name__ == '__main__':
    print(get_permutations(""the cat sat on the mat""))",Function,278,"import itertools

def get_permutations___:
    sentence_list = sentence.___
    return list(itertools.permutations___)

if __name__ == '__main__':
    print(get_permutations(""the cat sat on the mat""))"
Optimize a function written in Python that calculates the mean of a given sequence of numbers,"import numpy as np
sequence = np.array([1, 4, 6, 5, 9], dtype=np.float64)
def calculate_mean(sequence):
    sum = 0
    for number in sequence:
        sum += number
    return sum / len(sequence)","import numpy as np
sequence = np.array([1, 4, 6, 5, 9], dtype=np.float64)
def calculate_mean(sequence):
    return np.mean(sequence)",Function,286,"import numpy as np
sequence = np.___
def calculate_mean___:
    return np.mean___"
Create a function in Python that takes two numbers as input and returns a dictionary with all the prime numbers between them.,8 and 20,"def prime_numbers(x, y):
 
 prime_nums = {}
 
 for i in range(x, y+1):
 if(i > 1):
 for j in range(2, i):
 if(i % j == 0):
 break
 else:
 prime_nums[i] = i
 
 return prime_nums
 
print(prime_numbers(8, 20))
# { 8: 8, 11: 11, 13: 13, 17: 17, 19: 19 }",Function,326,"def prime_numbers___:
 
 prime_nums = {}
 
 for i in ___:
 ___:
 for j in range___:
 ___:
 break
 else:
 prime_nums[i] = i
 
 return prime_nums
 
print(prime_numbers(8, 20))
# { 8: 8, 11: 11, 13: 13, 17: 17, 19: 19 }"
Convert the following function from Python to Java.,"def generate_list(size):
    """"""Generate a list of integers from 0 to size - 1.""""""
    return [x for x in range(size)]","public List<Integer> generateList(int size) {
    /* Generate a list of integers from 0 to size - 1. */
    List<Integer> list = new ArrayList<>();
    for (int i = 0; i < size; i++) {
        list.add(i);
    }
    return list;
}",Function,334,"public List<Integer> ___ {
    /* Generate a list of integers from 0 to size - 1. */
    List<Integer> list = new ArrayList<>();
    ___ {
        list.add___;
    }
    return list;
}"
Write a function in Python to compute the nth Fibonacci number.,8,"def fibonacciNum(n): 
    if n <= 1: 
        return n 
    else: 
        return (fibonacciNum(n-1) + fibonacciNum(n-2)) 

n = 8
result = fibonacciNum(n) 
print(result)",Function,337,"def fibonacciNum___: 
    if n <= 1: 
        return n 
    else: 
        ___ 

n = 8
result = fibonacciNum___ 
print(result)"
Optimize and refactor an existing Python function.,"Example function:
def factorial_recursive(n):
 if n == 0:
 return 1
 return n * factorial_recursive(n-1)","def factorial(n):
 if n == 0:
 return 1
 
 result = 1 
 while n > 0:
 result = result * n
 n = n - 1
 
 return result",Function,343,"def factorial___:
 if n == 0:
 return 1
 
 result = 1 
 while n > 0:
 result = result * n
 n = n - 1
 
 return result"
Write a python program that implements the following function:,"Given two sorted lists, return a merged sorted list.","def merge_sorted_lists(list1, list2):
    merged_list = []

    while list1 and list2:
        if list1[0] < list2[0]:
            merged_list.append(list1.pop(0))
        else:
            merged_list.append(list2.pop(0))

    merged_list += list1 + list2

    return merged_list",Function,352,"def merge_sorted_lists___:
    merged_list = []

    while list1 and list2:
        if list1[0] < list2[0]:
            merged_list.append(list1.pop___)
        else:
            merged_list.append(list2.pop___)

    merged_list += list1 + list2

    return merged_list"
Write an IPv4 address verification function in Python.,192.168.0.1,"def check_valid_ip(ip_addr): 
    ip = ip_addr.split(""."") 
    if(len(ip) == 4 and 
        int(ip[0]) <= 255 and 
        int(ip[1]) <= 255 and 
        int(ip[2]) <= 255 and 
        int(ip[3]) <= 255): 
        return True
    else: 
        return False",Function,368,"def check_valid_ip___: 
    ip = ip_addr.___ 
    if(len___ == 4 and 
        ___ <= 255 and 
        ___ <= 255 and 
        ___ <= 255 and 
        ___: 
        return True
    else: 
        return False"
Create a function in Python which takes a user input and sorts it in ascending order.,"9,5,4,7","def my_function(values):
    sorted_values = sorted(values)
    return sorted_values

if __name__ == ""__main__"":
    values = [int(value) for value in input().split(',')]
    print(my_function(values))",Function,398,"def my_function___:
    sorted_values = sorted___
    return sorted_values

if __name__ == ""__main__"":
    values = [int___ for value in input().split(',')]
    print(my_function(values))"
Create a Python program to compare two lists and return the common elements between them.,"[1, 2, 3, 4], [2, 3, 4, 5]","def compare_lists(list1, list2):
 common_elements = []
 for element in list1:
 if element in list2:
 common_elements.append(element)
 return common_elements

list1 = [1, 2, 3, 4]
list2 = [2, 3, 4, 5]
print(compare_lists(list1, list2))",Function,427,"def compare_lists___:
 common_elements = []
 for element in list1:
 if element in list2:
 common_elements.append___
 return common_elements

list1 = [1, 2, 3, 4]
list2 = [2, 3, 4, 5]
print(compare_lists(list1, list2))"
"Create a Python function that takes two numbers, n and m, and prints out the first n odd numbers between 0 and m (both inclusive).","n = 3, m = 10","def printOddNumbers(n, m):
    nums = []
    for i in range(m):
        if i%2 != 0 and len(nums) < n:
            nums.append(i)
    return nums

print(printOddNumbers(3, 10))",Function,438,"def printOddNumbers(n, m):
    nums = []
    for i in range___:
        if i%2 != 0 and len___ < n:
            nums.append___
    return nums

print(printOddNumbers(3, 10))"
Create a function in Python to mask out any personal information from sensitive data.,"John Smith,123-456-7890","def mask_information(data):
  masked_data = """"
  for char in data:
    if char.isdigit():
      masked_data += 'x'
    else:
      masked_data += char
  return masked_data

masked_data = mask_information('John Smith,123-456-7890')
print(masked_data) // John Smith,xxx-xxx-xxxx",Function,441,"def mask_information___:
  masked_data = """"
  for char in data:
    if char.___:
      masked_data += 'x'
    else:
      masked_data += char
  return masked_data

masked_data = ___
print(masked_data) // John Smith,xxx-xxx-xxxx"
Write a Python function to calculate the harmonic mean of two numbers.,"7, 9","def harmonic_mean(x, y):
    return 2.0 * (x * y) / (x + y)

harmonic_mean_value = harmonic_mean(7, 9)

print(harmonic_mean_value)",Function,450,"def harmonic_mean___:
    return 2.0 * (x * y) / (x + y)

harmonic_mean_value = harmonic_mean___

print(harmonic_mean_value)"
Generate a python function to find the maximum of two numbers,"4, 5","def get_max(a,b):
    if a > b:
        return a
    else:
        return b

# main program
a = 4
b = 5
result = get_max(a,b)
print(result)",Function,469,"def get_max___:
    if a > b:
        return a
    else:
        return b

# main program
a = 4
b = 5
result = get_max___
print(result)"
Develop a Python function to count number of digits in a number.,8594,"def count_digits(number):
    count = 0
    while (number > 0):
        number = number // 10
        count = count + 1
    return count

num = 8594
print(""Number of digits : "", count_digits(num))",Function,482,"def count_digits___:
    count = 0
    ___:
        number = number // 10
        count = count + 1
    return count

num = 8594
print(""Number of digits : "", count_digits(num))"
Can you create a function in Python to find the area of a triangle given the three sides?,"3, 4, 5","def area_triangle(a, b, c):
	s = (a + b + c)/2

	area = math.sqrt(s*(s-a)*(s-b)*(s-c))
	return area

area = area_triangle(3, 4, 5)
print(""The area of the triangle is: {}"".format(area))",Function,485,"def area_triangle___:
	s = (a + b + c)/2

	area = math.___
	return area

area = area_triangle___
print(""The area of the triangle is: {}"".format(area))"
Create a function in Python to solve the following constraint problem.,"Given two arrays of integers, find the number of elements in the intersection of the two sets.","def intersection(arr1,arr2): 
    result = 0
    resultSet = set(arr1) & set(arr2)
    result = len(resultSet)
    return result",Function,512,"def intersection___: 
    result = 0
    resultSet = set___ & set___
    result = len___
    return result"
Write a function in Python to calculate the Gini coefficient of a dataset.,"Dataset: [1, 1, 1, 2, 3, 4, 4, 5, 6]","def gini(data):
 data_sorted = sorted(data) 
 size = len(data_sorted) 
 cummulative_sum = 0
 max_sum=sum(data_sorted)
 gini_coefficient=0.0
 for i in range(size): 
  cummulative_sum += data_sorted[i]
  gini_coefficient+=(2*cummulative_sum-max_sum-data_sorted[i])/max_sum
 return gini_coefficient/(size - 1)

data = [1,1,1,2,3,4,4,5,6]
print(gini(data))

# Output: 0.3",Function,513,"def gini___:
 data_sorted = sorted___ 
 size = len___ 
 cummulative_sum = 0
 max_sum=sum___
 gini_coefficient=0.0
 for i in range___: 
  cummulative_sum += data_sorted[i]
  gini_coefficient+=(2*cummulative_sum-max_sum-data_sorted[i])/max_sum
 return gini_coefficient/(size - 1)

data = [1,1,1,2,3,4,4,5,6]
print(gini(data))

# Output: 0.3"
Write a function in Python that will take in two numbers and return their sum.,"num1 = 5;
num2 = 10;","def sum(num1, num2):
 return num1 + num2

sum(5, 10); // returns 15",Function,527,"def sum___:
 return num1 + num2

sum___; // returns 15"
Design a function in Python to find the minimum of three numbers.,"2, -6, 4","def find_min(a, b, c):
    if a<b and a<c:
        return a
    elif b<a and b<c:
        return b
    else:
        return c

min = find_min(2, -6, 4)
print(min)",Function,529,"def find_min___:
    if a<b and a<c:
        return a
    elif b<a and b<c:
        return b
    else:
        return c

min = ___
print(min)"
Convert the following code into equivalent Python 3 function.,"function doubleString(str) {
    return str + str;
}","def doubleString(str):
    return str + str",Function,538,"def doubleString___:
    return str + str"
Write a function in Python that finds the most frequent item in a given sequence.,"sequence = [1, 2, 3, 4, 5, 1, 1, 2]","def most_frequent(sequence): 
    return max(set(sequence), key = sequence.count) 

print(most_frequent(sequence))",Function,561,"def most_frequent___: 
    return max(set___, key = sequence.count) 

print(most_frequent(sequence))"
Write a Python function to calculate the distance between two points given their coordinates.,"coord1 = (3, 2) 
 coord2 = (8, 10)","def Euclidean_distance(coord1, coord2):
    x1, y1 = coord1
    x2, y2 = coord2

    return ((x2-x1)**2 + (y2-y1)**2)**0.5",Function,580,"def Euclidean_distance___:
    x1, y1 = coord1
    x2, y2 = coord2

    ___**0.5"
Create a Python function to calculate the particle diameter of a given radius.,radius = 0.75,"def particle_diameter(radius):
    return 2 * radius

diameter = particle_diameter(0.75)
print(diameter) # Output: 1.5",Function,610,"def particle_diameter___:
    return 2 * radius

diameter = ___
print(diameter) # Output: 1.5"
Implement a function in Python that takes as input an integer and prints out the Fibonacci sequence up to the entered value.,10,"def fibonacci(n):
    arr = [0, 1]
    for i in range(2, n+1):
        arr.append(arr[i-2] + arr[i-1])
    return arr[:n+1]

print(fibonacci(10))",Function,619,"def fibonacci___:
    arr = [0, 1]
    for i in ___:
        arr.___
    return arr[:n+1]

print(fibonacci(10))"
"Write a function in Python to generate a random integer between two numbers, a and b.","a = 4
b = 15","import random

def random_int_generator(a, b):
    return random.randint(a, b)",Function,635,"import random

def random_int_generator___:
    return random.randint___"
Create a Python function to evaluate a given polynomial equation,P(x) = x^2 - 4x + 6,"def poly_evaluation(x):
  return x**2 - 4*x + 6

x = 2
result = poly_evaluation(x)
print(result) # prints 0",Function,646,"def poly_evaluation___:
  return x**2 - 4*x + 6

x = 2
result = poly_evaluation___
print(result) # prints 0"
Convert the following function written in Python to Java.,"def add_two_numbers(a, b):
    return a + b","public int add_two_numbers(int a, int b){
    return a + b;
}",Function,660,"public int ___{
    return a + b;
}"
Write a python function to count the number of words in a sentence that are longer than the given length.,"sentence = ""This is a sample sentence""
length = 4","def count_long_words(sentence, length):
    words = sentence.split()
    count = 0
    
    for word in words:
        if len(word) > length:
            count += 1
    return count",Function,662,"def count_long_words___:
    words = sentence.___
    count = 0
    
    for word in words:
        if len___ > length:
            count += 1
    return count"
Generate a function in Python to optimize a function based on the mean squared error metric.,"def f(weights):
 cost = 0
 for i in range(len(weights)):
 cost += weights[i]**2
 return cost","import gradientDescent as GD

def optimize(weights):
 cost, gradient = GD.cost_function(f, weights)
 optimizer = GD.Optimizer(learning_rate=0.01, momentum=0.9, decay=0.001)
 optimizer.run(cost, gradient)
 return optimizer.weights",Function,667,"import gradientDescent as GD

def optimize___:
 cost, gradient = GD.cost_function___
 optimizer = GD.___
 optimizer.run___
 return optimizer.weights"
"Create a Python function that takes two parameters, a number (n) and a word (w), and prints out the word n number of times.","3, ""Hello""","def repeat(n, w):
    for i in range(n):
        print(w)

repeat(3, ""Hello"")  # Output: Hello Hello Hello",Function,688,"def repeat___:
    for i in range___:
        print(w)

___  # Output: Hello Hello Hello"
Design a function in Python to find the area of a circle from the given radius.,5,"def areaCircle(radius):
    pi = 3.14
    area = pi * (radius**2)
    return area

print(areaCircle(5)) # 78.5",Function,689,"def areaCircle___:
    pi = 3.14
    area = pi * (radius**2)
    return area

print(areaCircle(5)) # 78.5"
Write a Python function to transpose a given matrix of size (m x n).,"[[1, 2], 
 [3, 4], 
 [5, 6]]","def transposeMatrix(matrix): 
 m = len(matrix) 
 n = len(matrix[0]) 
  
 # Create a new matrix 
 transpose = [[0 for x in range(m)] for y in range(n)] 
  
 # Iterate through the original matrix 
 for i in range(m): 
 for j in range(n): 
 transpose[j][i] = matrix[i][j] 
 return transpose",Function,701,"def transposeMatrix___: 
 m = len___ 
 n = ___ 
  
 # Create a new matrix 
 transpose = [[0 for x in range___] for y in range___] 
  
 # Iterate through the original matrix 
 for i in range___: 
 for j in range___: 
 transpose[j][i] = matrix[i][j] 
 return transpose"
Optimize a given Python function to increase its performance.,"def factorial(n):
    if n == 0 or n == 1:
        return 1
    else:
        return n * factorial(n-1)","def factorial(n):
    """"""Calculates the factorial of `n` using an optimized approach. """"""
    result = 1
    for i in range(2,n+1):
        result *= i
    return result

if __name__ == '__main__':
    print(factorial(4)) # 24",Function,730,"def factorial___:
    """"""Calculates the factorial of `n` using an optimized approach. """"""
    result = 1
    for i in ___:
        result *= i
    return result

if __name__ == '__main__':
    print(factorial(4)) # 24"
Write a python program to calculate the sum of the given numbers and return the result.,"[1, 2, 3, 4, 5]","def sum_numbers(arr):
    result = 0
    for num in arr:
        result += num
    return result",Function,738,"def sum_numbers___:
    result = 0
    for num in arr:
        result += num
    return result"
Write a Python program to return the greatest common divisor between two numbers.,"num1 = 15
num2 = 25","def gcd(num1, num2):
while num2 != 0:
   temp = num1
   num1 = num2
   num2 = temp % num2
return num1

print(gcd(num1,num2))",Function,758,"def gcd___:
while num2 != 0:
   temp = num1
   num1 = num2
   num2 = temp % num2
return num1

print(gcd(num1,num2))"
Debug this Python function to find and correct any errors.,"def sumN(num): 
  response = 0
  for i in range(1, num + 1):
    response *= i
  return response","def sumN(num): 
  response = 0
  for i in range(1, num + 1):
    response += i
  return response",Function,761,"def sumN___: 
  response = 0
  for i in ___:
    response += i
  return response"
Design a function  in Python to count the total number of prime numbers between the two given numbers (inclusive).,"Start = 10, End = 20","def count_primes(start, end):
    count = 0
    for i in range(start, end+1):
        if is_prime(i):
            count += 1
    return count

def is_prime(num):
    for i in range(2, int(num**0.5) + 1):
        if num % i == 0:
            return False
    return True",Function,790,"def count_primes___:
    count = 0
    for i in ___:
        if is_prime___:
            count += 1
    return count

def is_prime___:
    for i in ___:
        if num % i == 0:
            return False
    return True"
Optimize a function in Python.,"def sum_of_list(lst): 
    sum = 0
    for n in lst: 
        sum += n 
    return sum","def sum_of_list(lst): 
    return sum(lst)",Function,830,"def sum_of_list___: 
    return sum___"
Create a Python function that takes a single argument and prints the Fibonacci sequence from 0 to the argument value.,Argument value: 9,"def print_fibonacci_sequence(num):
 a = 0
 b = 1
 
 print(a, end="" "")
 print(b, end="" "") 
 
 for i in range(2,num):
  c = a + b
  a = b
  b = c
  print(c, end="" "")

print_fibonacci_sequence(9) # prints 0 1 1 2 3 5 8 13 21",Function,832,"def print_fibonacci_sequence(num):
 a = 0
 b = 1
 
 print(a, end="" "")
 print(b, end="" "") 
 
 for i in range___:
  c = a + b
  a = b
  b = c
  print(c, end="" "")

print_fibonacci_sequence(9) # prints 0 1 1 2 3 5 8 13 21"
Find the maximum of three numbers using a Python function.,"a = 10, b = 5, c = 20","def maximumOfThreeNumbers(a, b, c):
   if (a >= b) and (a >= c):
     return a
   elif (b >= a) and (b >= c):
     return b
   else:
     return c

maximum = maximumOfThreeNumbers(10, 5, 20)
print(""The maximum number is:"", maximum)",Function,868,"def maximumOfThreeNumbers___:
   ___:
     return a
   ___:
     return b
   else:
     return c

maximum = maximumOfThreeNumbers___
print(""The maximum number is:"", maximum)"
Generate a function to add two matrices of the same size in Python.,"A = [[1,2],[3,4]] 
B = [[5,6],[7,8]]","def add_matrix(A, B):
    """"""Add two matrices of the same size.""""""
    n = len(A)
    m = len(A[0])
    result = [[0 for _ in range(m)] for _ in range(n)] 
    for i in range(n):
        for j in range(m):
            result[i][j] = A[i][j] + B[i][j]
            
    return result

# Output
print(add_matrix(A,B))",Function,874,"def add_matrix___:
    """"""Add two matrices of the same size.""""""
    n = len___
    m = ___
    result = [[0 for _ in range___] for _ in range___] 
    for i in range___:
        for j in range___:
            result[i][j] = A[i][j] + B[i][j]
            
    return result

# Output
print(add_matrix(A,B))"
Create a Python function that takes in one integer argument and returns an integer with the absolute value.,number = -3,"def getAbsoluteValue(number):
    if (number < 0):
        return number * -1
    else:
        return number

print(getAbsoluteValue(-3)) # Outputs 3",Function,875,"def getAbsoluteValue___:
    ___:
        return number * -1
    else:
        return number

print(getAbsoluteValue(-3)) # Outputs 3"
Build a function in Python to compute the Fibonacci numbers up to a given maximum.,maximum = 15,"def fibonacciGenerator(maximum):
    i1, i2 = 0, 1
    while i1 < maximum:
        yield i1
        i1, i2 = i2, i1 + i2

fibonacci = list(fibonacciGenerator(15))
print(fibonacci)",Function,880,"def fibonacciGenerator___:
    i1, i2 = 0, 1
    while i1 < maximum:
        yield i1
        i1, i2 = i2, i1 + i2

fibonacci = list(fibonacciGenerator___)
print(fibonacci)"
Convert an existing function from Python 3 to Python 2.,"def check_anagram(string1, string2):
    if(sorted(string1) == sorted(string2)):
        return True
    else:
        return False","def check_anagram(string1, string2):
    if(sorted(list(string1)) == sorted(list(string2))):
        return True
    else:
        return False",Function,905,"def check_anagram___:
    if(sorted(list___) == sorted(list___)):
        return True
    else:
        return False"
Create a function in Python to compute the average of two numbers.,"8, 10","def average(a, b): 
    return (a + b)/2 
  
a = 8
b = 10
print(""Average of"", a, ""and"", b, ""is"", average(a, b))",Function,925,"def average___: 
    ___/2 
  
a = 8
b = 10
print(""Average of"", a, ""and"", b, ""is"", average(a, b))"
"Write a Python function that takes two lists as arguments, and calculates their dot product.","list1 = [1,2,3]
list2 = [4,5,6]","def dot_product(list1, list2):
  if len(list1) != len(list2):
    raise ValueError('List lengths must be the same.')
  dot_product = 0
  for i, val in enumerate(list1):
    dot_product += val * list2[i]
  return dot_product

list1 = [1,2,3]
list2 = [4,5,6]

dot_product_result = dot_product(list1, list2)
print(dot_product_result) # 32",Function,936,"def dot_product___:
  if len___ != len___:
    raise ___
  dot_product = 0
  for i, val in enumerate___:
    dot_product += val * list2[i]
  return dot_product

list1 = [1,2,3]
list2 = [4,5,6]

dot_product_result = dot_product___
print(dot_product_result) # 32"
Create a function that takes a key and value as 1 pair to add to a Python dictionary.,"key: age, value: 23","def add_key_value_pair(dict, key, value): 
    dict[key] = value
    return dict

my_dict = {}
my_dict = add_key_value_pair(my_dict, 'age', 23)
print(my_dict)",Function,956,"def add_key_value_pair___: 
    dict[key] = value
    return dict

my_dict = {}
my_dict = ___
print(my_dict)"
Create a Python function that takes a number as input and returns the Fibonacci number at the same position in the sequence.,3,"def fibonacciNum(n): 
  a = 0
  b = 1
  if n < 0: 
    print(""Incorrect input"") 
  elif n == 0: 
    return a 
  elif n == 1: 
    return b 
  else: 
    for i in range(2,n+1): 
        c = a + b 
        a = b 
        b = c 
    return b 

fibonacciNum(3)",Function,962,"def fibonacciNum___: 
  a = 0
  b = 1
  if n < 0: 
    print(""Incorrect input"") 
  elif n == 0: 
    return a 
  elif n == 1: 
    return b 
  else: 
    for i in ___: 
        c = a + b 
        a = b 
        b = c 
    return b 

fibonacciNum___"
Create a function in Python to construct the following pattern,The maximum number of lines is 10,"def construct_pattern(n):
    for i in range(1,n+1):
        for j in range(i):
            print(""*"",end="""")
        print("""")
    for i in range(n-1,0,-1):
        for j in range(i):
            print(""*"",end="""")
        print("""")",Function,966,"def construct_pattern___:
    for i in ___:
        for j in range___:
            print(""*"",end="""")
        print("""")
    for i in ___:
        for j in range___:
            print(""*"",end="""")
        print("""")"
"Create a Python function to count the number of strings that contain the substring ""cat"".","[""cat keeper"", ""cat lover"", ""lizard wrangler"", ""cat wrangler""]","def count_substring_cat(string_list):
    count = 0
    for string in string_list:
        if ""cat"" in string:
            count += 1
    return count

string_list = [""cat keeper"", ""cat lover"", ""lizard wrangler"", ""cat wrangler""]
result = count_substring_cat(string_list)

print(result)",Function,970,"def count_substring_cat___:
    count = 0
    for string in string_list:
        if ""cat"" in string:
            count += 1
    return count

string_list = [""cat keeper"", ""cat lover"", ""lizard wrangler"", ""cat wrangler""]
result = count_substring_cat___

print(result)"
Develop a function in Python to convert a given word into its Pig Latin form.,"""Hello""","def pig_latin(word):
    first_letter = word[0]

    # check if the word starts with a vowel 
    if first_letter in ""aeiou"":
        latin_word = word + ""ay""
    else:
        latin_word = word[1:] + first_letter + ""ay""

    return latin_word",Function,983,"def pig_latin___:
    first_letter = word[0]

    # check if the word starts with a vowel 
    if first_letter in ""aeiou"":
        latin_word = word + ""ay""
    else:
        latin_word = word[1:] + first_letter + ""ay""

    return latin_word"
Modify a given Python function to accept additional arguments.,"def divide(a, b):
    return a / b","def divide(a, b, c=1, d=1):
    return (a / b) / (c / d)",Function,990,"def ___:
    ___"
